SubCategory,Value Column Name,Value
"Water Heaters","Sales","443343"
"Water Heaters","Margin","94593"
"Water Heaters","Margin %","21.336301689662406"
"Water Heaters","Total Customers","152"
"Washers & Dryers","Sales","1579519"
"Washers & Dryers","Margin","196825"
"Washers & Dryers","Margin %","12.461072009896684"
"Washers & Dryers","Total Customers","247"
"Refrigerators","Sales","953483"
"Refrigerators","Margin","-350567"
"Refrigerators","Margin %","-36.7669900774319"
"Refrigerators","Total Customers","331"
"Projectors & Screens","Sales","972566"
"Projectors & Screens","Margin","211256"
"Projectors & Screens","Margin %","21.721507846254134"
"Projectors & Screens","Total Customers","382"
"Printers, Scanners & Fax","Sales","219277"
"Printers, Scanners & Fax","Margin","592"
"Printers, Scanners & Fax","Margin %","0.26997815548370324"
"Printers, Scanners & Fax","Total Customers","379"
"Monitors","Sales","423791"
"Monitors","Margin","-769"
"Monitors","Margin %","-0.1814573693164791"
"Monitors","Total Customers","327"
"Microwaves","Sales","319179"
"Microwaves","Margin","14301"
"Microwaves","Margin %","4.480557931442858"
"Microwaves","Total Customers","375"
"Laptops","Sales","668170"
"Laptops","Margin","181170"
"Laptops","Margin %","27.11435712468384"
"Laptops","Total Customers","301"
"Lamps","Sales","470833"
"Lamps","Margin","340307"
"Lamps","Margin %","72.2776440903675"
"Lamps","Total Customers","548"
"Fans","Sales","83370"
"Fans","Margin","-38643"
"Fans","Margin %","-46.35120546959338"
"Fans","Total Customers","287"
"Desktops","Sales","266374"
"Desktops","Margin","23224"
"Desktops","Margin %","8.718568629070404"
"Desktops","Total Customers","184"
"Computers Accessories","Sales","127806"
"Computers Accessories","Margin","-18234"
"Computers Accessories","Margin %","-14.266935824609174"
"Computers Accessories","Total Customers","654"
"Coffee Machines","Sales","475878"
"Coffee Machines","Margin","-11149.5"
"Coffee Machines","Margin %","-2.3429324322620504"
"Coffee Machines","Total Customers","251"
"Air Conditioners","Sales","252718"
"Air Conditioners","Margin","137824"
"Air Conditioners","Margin %","54.53667724499244"
"Air Conditioners","Total Customers","216"
